RECRUITER_CODE,SMILES
L00343,COc1ccc2c(c1)nc(s2)N
L00514,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00515,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00474,CC(=O)N1Cc2ccc(cc2C1)N
L00487,CCc1csc(n1)c2cnc[nH]2
L00808,CCc1csc(n1)c2cnc[nH]2
L00516,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00517,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00518,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00519,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00520,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00521,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00522,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00523,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00524,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00525,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00417,Cc1ccccc1CCNC(=O)C
L00526,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00527,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00528,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00529,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00320,CC(=O)Nc1ccc2cn[nH]c2c1
L00423,Cc1cc(no1)C(=O)Nc2cnn(c2)C
L00530,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00309,c1ccc(cc1)NC(=O)Nc2cccnc2
L00531,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00341,c1ccnc(c1)C(=O)NCCc2ccc(cc2)O
L00532,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00533,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00534,[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O
L00553,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00554,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00555,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00556,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00557,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2
L00233,COC(=O)c1cc2c([nH]1)cco2
L00237,c1cc2c(cc1Cl)C(=O)CCS2
L00211,C([C@@H](C(=O)O)N)SS(=O)(=O)O
L00350,C(COCCOCCOCCOCCOCCO)O
L00627,[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC
