SMILES	Count	Recruiters
c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2	2	L00002,L00552
c1c(cn(n1)C2CC[NH2+]CC2)Br	2	L00132,L00760
c1c(c2c(s1)c(ncn2)O)CN3C[C@@H]([C@@H]([C@H]3CO)O)O	2	L00044,L00725
[Zn+2]	2	L00119,L00757
Cn1c2ccc(cc2nn1)[C@H](CC(=O)O)c3ccc(cc3)Cl	2	L00280,L00798
Cc1cnn(c1)C[C@H]2C[NH2+][C@@H](CN2CC(=O)N3CC(c4c3cc(nc4)Cc5ccccc5)(C)C)C	2	L00164,L00773
Cc1ccc(cc1Cl)NC(=O)NCc2ccc3c(c2)CN(C3=O)[C@H]4CCC(=O)NC4=O	2	L00032,L00710
Cc1ccc(cc1Cl)NC(=O)CCc2cccc(c2)NC3=CC(=O)N(C3=O)[C@H]4CCC(=O)NC4=O	2	L00051,L00730
Cc1ccc(c2c1c(c[nH]2)C#N)NS(=O)(=O)c3cccc(c3)C#N	2	L00047,L00728
Cc1ccc(c(c1)C)S(=O)(=O)C2=CN=C(NC2=O)SCC(=O)Nc3ccccc3C(F)(F)F	2	L00125,L00758
Cc1cc2c(cc1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(COP(=O)(O)O)O)O)O	2	L00694,L00695
Cc1c(scn1)c2ccc(cc2)C(C)NC(=O)C3CC(CN3C(=O)C(c4cc(no4)OC(C)CN5CCC(C5)N6CCN7c8cc(nnc8NCC7C6)c9ccccc9O)C(C)C)O	2	L00535,L00536
Cc1c(ccc2c1[nH]cc2/C=C\3/C(=O)N(C(=O)N3)Cc4ccc(c(c4)F)F)Cl	2	L00026,L00699
C[N@@](CCCN(C)C)[C@H]1CCN(C1)C(=O)c2c(c3ccc(cc3[nH]2)Cl)c4c(ncn4Cc5ccc(cc5)Cl)c6ccccc6	2	L00473,L00805
C[C@H]1CCN([C@@H]1C(=O)Nc2ccccc2c3ncccn3)C(=O)[C@H](C4CCCCC4)NC(=O)[C@H](C)NC	2	L00184,L00778
C[C@@H]1CN([C@H](C[NH2+]1)COC)CC(=O)N2CC(c3c2cc(nc3)Cl)(C)C	2	L00140,L00768
C[C@@H]1CN([C@H](C[NH2+]1)COC)CC(=O)N2CC(c3c2cc(nc3)Cc4ccccc4)(C)C	2	L00141,L00769
C[C@@H]1CN([C@H](C[NH2+]1)COC)CC(=O)N2CC(c3c2cc(cn3)Cc4ccccc4)(C)C	2	L00165,L00774
