Ligase,Scaffold_ID,Recruiter_Count,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
MDM2,MDM2_SCAF_50,1,O=C1c2nn(-c3ccccc3)cc2[C@H](c2ccccc2)N1c1ccccc1,O=C1c2nn(-c3ccccc3)cc2[C@H](c2ccccc2)N1c1ccccc1,Polycyclic_Hetero,2.1901672394878087e-15,-5.3290705182007506e-15,8.137430123673023e-15,1,97,0.0103092783505154,4.229819073997704,0.9766981112991004
MDM2,MDM2_SCAF_51,1,O=C1c2nc(-c3cncnc3)[nH]c2[C@H](c2ccccc2)N1c1ccc[nH]c1=O,O=C1c2nc(-c3cncnc3)[nH]c2[C@H](c2ccccc2)N1c1ccc[nH]c1=O,Polycyclic_Hetero,-1.6346712343528496e-14,3.4623098039381665e-14,1.6811948658609512e-14,1,97,0.0103092783505154,4.229819073997704,0.9766981112991004
MDM2,MDM2_SCAF_52,1,O=C(NC1CCCCC1)[C@@H]1NC[C@@]2(C(=O)Nc3ccccc32)[C@H]1c1ccccc1,O=C(NC1CCCCC1)[C@@H]1NC[C@@]2(C(=O)Nc3ccccc32)[C@H]1c1ccccc1,Polycyclic_Hetero,2.925239415775747e-14,1.9500274411094717e-14,-0.0894346751573384,1,97,0.0103092783505154,4.229819073997704,0.9766981112991004
MDM2,MDM2_SCAF_53,1,C(CCNCS)C[C@@H](C(=O)O)N,,Acyclic,8.088767750840426e-16,2.2105333436733028e-16,0.0172505862838951,1,97,0.0103092783505154,4.229819073997704,0.9766981112991004
MDM2,MDM2_SCAF_54,1,O=C1NC=N/C1=C\c1ccccc1,O=C1NC=N/C1=C\c1ccccc1,Bicyclic_Hetero,-2.370590496390096e-14,4.187126835729162e-15,-6.365278674517565e-15,1,97,0.0103092783505154,4.229819073997704,0.9766981112991004
MDM2,MDM2_SCAF_55,1,C[C@H]([C@@H](C(=O)O)NC(=O)C)O,,Acyclic,-1.887379141862766e-15,1.1304088978001594e-15,-0.0274599461902697,1,97,0.0103092783505154,4.229819073997704,0.9766981112991004
MDM2,MDM2_SCAF_56,1,O=C1c2nc(-c3cncnc3)[nH]c2[C@H](c2ccccc2)N1c1ccccc1,O=C1c2nc(-c3cncnc3)[nH]c2[C@H](c2ccccc2)N1c1ccccc1,Polycyclic_Hetero,-1.6071799975526076e-15,1.0679288141632458e-15,-3.0663302584885275e-16,1,97,0.0103092783505154,4.229819073997704,0.9766981112991004
MDM2,MDM2_SCAF_57,1,O=C1N=C[C@H]2[C@@H]1[C@H](c1ccccc1)[C@]1(C(=O)Nc3ccccc31)N2CC1CC1,O=C1N=C[C@H]2[C@@H]1[C@H](c1ccccc1)[C@]1(C(=O)Nc3ccccc31)N2CC1CC1,Polycyclic_Hetero,-1.4609628699557163e-14,3.2377728616109155e-15,1.1192860697241373e-15,1,97,0.0103092783505154,4.229819073997704,0.9766981112991004
MDM2,MDM2_SCAF_58,1,O=C1c2nn(-c3cncnc3)cc2[C@H](c2ccccc2)N1c1ccc[nH]c1=O,O=C1c2nn(-c3cncnc3)cc2[C@H](c2ccccc2)N1c1ccc[nH]c1=O,Polycyclic_Hetero,-3.8931820730188825e-14,5.743025103096703e-14,2.7064593952207445e-13,1,97,0.0103092783505154,4.229819073997704,0.9766981112991004
MDM2,MDM2_SCAF_59,1,O=C1c2[nH]ncc2[C@H](c2ccccc2)N1c1ccccc1,O=C1c2[nH]ncc2[C@H](c2ccccc2)N1c1ccccc1,Polycyclic_Hetero,1.2147146034134064e-14,6.922567094721564e-15,-1.1755302613678128e-16,1,97,0.0103092783505154,4.229819073997704,0.9766981112991004
