Ligand,Recruiters,MasterRecruiter
JP5,L00304,L00304
JP8,L00305,L00305
JPB,L00306,L00306
JPQ,L00307,L00307
JPW,L00308,L00308
K0G,L00309,L00309
K1G,"L00310,L00799",L00310
K1P,L00311,L00311
K23,L00312,L00312
K2M,L00313,L00313
K67,L00314,L00314
K6U,L00315,L00315
L5F,L00316,L00316
L6I,L00317,L00317
L8B,L00318,L00318
LAY,L00319,L00319
LHR,L00320,L00320
LKU,L00321,L00321
LL0,L00322,L00322
LQ8,L00323,L00323
LQH,"L00042,L00720,L00721,L00722,L00723",L00042
LQK,L00324,L00324
LQP,L00325,L00325
LTZ,L00326,L00326
LV4,L00327,L00327
LVY,"L00011,L00653,L00654,L00655,L00656,L00657",L00011
LWD,L00328,L00328
LWK,"L00043,L00724",L00043
M0L,L00329,L00329
M0N,L00330,L00330
M3S,L00331,L00331
M9E,L00332,L00332
M9H,L00333,L00333
MBY,"L00044,L00725",L00044
MI6,L00334,L00334
MIQ,"L00045,L00726",L00045
MPO,"L00046,L00727",L00046
MW6,L00335,L00335
N6O,L00336,L00336
N8F,L00337,L00337
NFU,L00338,L00338
NTV,L00339,L00339
NUA,L00340,L00340
NUM,L00341,L00341
NUT,"L00008,L00632,L00633,L00634,L00635,L00636,L00637,L00638,L00639,L00640",L00008
NUY,L00342,L00342
NZ1,L00343,L00343
NZJ,L00344,L00344
O1J,L00345,L00345
O1M,L00346,L00346
O3D,L00347,L00347
O6M,"L00047,L00728",L00047
O9E,L00348,L00348
P07,L00349,L00349
P6G,L00350,L00350
P7M,L00351,L00351
PGE,"L00024,L00694,L00695,L00696",L00024
PHI,L00352,L00352
PHN,"L00013,L00663,L00664,L00665,L00666",L00013
PKG,L00353,L00353
PM3,"L00025,L00697,L00698",L00025
PMZ,L00354,L00354
PRF,L00355,L00355
Q49,L00356,L00356
Q4L,L00357,L00357
Q5J,L00358,L00358
Q5V,L00359,L00359
Q5Y,"L00048,L00729",L00048
Q9E,L00360,L00360
QD0,L00361,L00361
QE0,L00362,L00362
QE9,L00363,L00363
QF3,L00364,L00364
QF7,L00365,L00365
QFC,"L00012,L00658,L00659,L00660,L00661,L00662",L00012
QFF,L00366,L00366
QFR,L00367,L00367
QGZ,L00368,L00368
QH2,L00369,L00369
QH5,L00370,L00370
QH8,L00371,L00371
QHH,L00372,L00372
QHK,L00373,L00373
QHN,L00374,L00374
QHQ,L00375,L00375
QHT,L00376,L00376
QHW,L00377,L00377
QHZ,L00378,L00378
QJ5,L00379,L00379
RAC,L00380,L00380
RN9,"L00051,L00730",L00051
ROL,L00381,L00381
RV4,L00382,L00382
RWS,L00383,L00383
RXS,L00384,L00384
RZJ,"L00385,L00800",L00385
S0V,"L00386,L00801",L00386
S0W,L00387,L00387
S3B,L00388,L00388
S7B,L00389,L00389
S7G,L00390,L00390
S9S,L00391,L00391
SFY,L00392,L00392
SGO,L00393,L00393
SIU,L00394,L00394
SMK,"L00052,L00731,L00732,L00733,L00734,L00735",L00052
SXJ,L00395,L00395
T6I,L00396,L00396
T6J,L00397,L00397
T9Q,L00398,L00398
TG0,L00399,L00399
THC,L00400,L00400
TJ2,L00401,L00401
TMG,L00402,L00402
TR0,L00403,L00403
TU6,L00404,L00404
TUW,L00405,L00405
TUZ,L00406,L00406
TV5,L00407,L00407
TV9,L00408,L00408
TVH,L00409,L00409
TVK,L00410,L00410
TX6,L00411,L00411
U0S,L00412,L00412
U1E,"L00053,L00736",L00053
U1H,L00413,L00413
U2R,L00414,L00414
U3I,L00415,L00415
U3Z,L00416,L00416
U78,L00417,L00417
UA2,L00418,L00418
UB2,L00419,L00419
UB3,L00420,L00420
UCK,L00421,L00421
UDP,L00422,L00422
UUM,L00423,L00423
UUP,L00424,L00424
UVA,L00425,L00425
UWS,L00426,L00426
UXA,L00427,L00427
UXD,L00428,L00428
UXG,L00429,L00429
V4M,L00430,L00430
V6F,L00431,L00431
V7J,L00432,L00432
VBK,L00433,L00433
VBQ,L00434,L00434
VBT,L00435,L00435
VBW,L00436,L00436
VCB,L00437,L00437
VCN,L00438,L00438
VCQ,L00439,L00439
VCT,L00440,L00440
VFO,L00441,L00441
VH3,L00442,L00442
VL6,L00443,L00443
VLS,L00444,L00444
VLW,L00445,L00445
VM3,"L00446,L00802",L00446
VM8,"L00447,L00803",L00447
VMR,L00448,L00448
VMZ,"L00449,L00804",L00449
VN5,L00450,L00450
VP9,L00451,L00451
VW4,L00452,L00452
VWV,L00453,L00453
VYQ,L00454,L00454
VZV,L00455,L00455
VZY,L00456,L00456
W0Y,L00457,L00457
W0Z,L00458,L00458
W1A,L00459,L00459
W1B,L00460,L00460
W1F,L00461,L00461
W1T,L00462,L00462
W1X,L00463,L00463
W26,L00464,L00464
W2F,L00465,L00465
WBN,L00466,L00466
WGM,L00467,L00467
WHP,L00468,L00468
WJA,L00469,L00469
WKG,L00470,L00470
WKS,L00471,L00471
WNY,L00472,L00472
WW8,"L00473,L00805",L00473
X1J,L00474,L00474
X22,"L00056,L00739,L00740,L00741,L00742,L00743",L00056
X23,"L00475,L00806,L00807",L00475
X6C,L00476,L00476
XJI,L00477,L00477
XMS,L00478,L00478
XXT,L00479,L00479
XYP,L00480,L00480
XYY,L00481,L00481
Y30,L00482,L00482
Y70,"L00006,L00613,L00614,L00615,L00616,L00617,L00618,L00619,L00620,L00621,L00622",L00006
YIN,L00483,L00483
YK3,L00484,L00484
YOT,L00485,L00485
YQO,L00486,L00486
ZQA,"L00487,L00808",L00487
ZTD,L00488,L00488
ZTQ,L00489,L00489
ZUN,L00490,L00490
