RECRUITER_CODE,MasterRecruiter,Ligand
L00029,L00029,5GP
L00146,L00146,5QZ
L00147,L00147,5RB
L00148,L00148,5RQ
L00149,L00149,5UI
L00150,L00150,5UZ
L00151,L00151,5VX
L00152,L00152,5X9
L00014,L00014,6CW
L00667,L00014,6CW
L00668,L00014,6CW
L00669,L00014,6CW
L00153,L00153,6EL
L00030,L00030,6GG
L00705,L00030,6GG
L00154,L00154,6OG
L00155,L00155,6SJ
L00156,L00156,6SK
L00157,L00157,6SS
L00158,L00158,6ST
L00159,L00159,6Z3
L00160,L00160,6ZT
L00161,L00161,75K
L00162,L00162,7H8
L00772,L00162,7H8
L00031,L00031,7H9
L00706,L00031,7H9
L00707,L00031,7H9
L00708,L00031,7H9
L00709,L00031,7H9
L00163,L00163,7HC
L00164,L00164,7HT
L00773,L00164,7HT
L00165,L00165,7HU
L00774,L00165,7HU
L00166,L00166,7J6
L00775,L00166,7J6
L00167,L00167,7SE
L00168,L00168,7YU
L00169,L00169,835
L00032,L00032,85C
L00710,L00032,85C
L00015,L00015,8OG
L00670,L00015,8OG
L00671,L00015,8OG
L00672,L00015,8OG
L00016,L00016,8W7
L00673,L00016,8W7
L00674,L00016,8W7
L00675,L00016,8W7
L00170,L00170,8ZL
L00171,L00171,91M
L00172,L00172,92I
L00173,L00173,997
L00776,L00173,997
L00174,L00174,998
L00777,L00174,998
L00175,L00175,9B5
L00176,L00176,9B8
L00177,L00177,9BH
L00178,L00178,9BK
L00179,L00179,9BN
L00180,L00180,9BT
L00181,L00181,9BW
L00033,L00033,9E7
L00711,L00033,9E7
L00182,L00182,9FT
L00183,L00183,9IB
L00184,L00184,9JZ
L00778,L00184,9JZ
L00185,L00185,9P0
L00186,L00186,9QW
L00187,L00187,9UQ
L00521,L00521,A01
L00503,L00503,A02
L00516,L00516,A03
L00517,L00517,A04
L00498,L00498,A05
L00499,L00499,A06
L00515,L00515,A07
L00512,L00512,A08
L00510,L00510,A09
L00501,L00501,A10
L00511,L00511,A11
L00502,L00502,A12
L00519,L00519,A13
L00513,L00513,A14
L00533,L00533,A15
L00528,L00528,A16
L00522,L00522,A17
L00500,L00500,A18
L00520,L00520,A20
L00527,L00527,A21
L00523,L00523,A22
L00524,L00524,A23
L00526,L00526,A24
L00531,L00531,A25
L00525,L00525,A26
L00507,L00507,A27
L00508,L00508,A28
L00529,L00529,A29
L00530,L00530,A30
L00509,L00509,A31
L00532,L00532,A32
L00504,L00504,A33
L00505,L00505,A34
L00518,L00518,A35
L00491,L00491,A36
L00492,L00492,A37
L00495,L00495,A38
L00494,L00494,A39
L00497,L00497,A41
L00534,L00534,A42
L00493,L00493,A43
L00537,L00537,A44
L00496,L00496,A47
L00188,L00188,A4E
L00779,L00188,A4E
L00611,L00611,A51
L00602,L00602,A52
L00601,L00601,A53
L00606,L00606,A54
L00603,L00603,A56
L00604,L00604,A57
L00607,L00607,A58
L00608,L00608,A59
L00605,L00605,A60
L00678,L00678,A61
L00588,L00588,A65
L00004,L00004,A66
L00587,L00587,A67
L00589,L00589,A68
L00594,L00594,A69
L00593,L00593,A70
L00591,L00591,A71
L00592,L00592,A72
L00595,L00595,A73
L00596,L00596,A74
L00599,L00599,A75
L00600,L00600,A76
L00597,L00597,A77
L00598,L00598,A78
L00590,L00590,A79
L00542,L00542,A81
L00541,L00541,A82
L00545,L00545,A83
L00558,L00558,A84
L00546,L00546,A85
L00544,L00544,A86
L00539,L00539,A87
L00540,L00540,A88
L00557,L00557,A89
L00538,L00538,A91
L00548,L00548,A92
L00549,L00549,A93
L00550,L00550,A94
L00555,L00555,A95
L00547,L00547,A96
L00551,L00551,A97
L00563,L00563,A98
L00562,L00562,A99
L00189,L00189,AD3
L00190,L00190,ADI
L00191,L00191,AGV
L00192,L00192,AO7
L00193,L00193,AQP
L00194,L00194,AU0
L00553,L00553,B00
L00554,L00554,B01
L00556,L00556,B02
L00543,L00543,B03
L00559,L00559,B04
L00561,L00561,B05
L00034,L00034,B07
L00712,L00712,B08
L00195,L00195,B0A
L00623,L00623,B13
L00624,L00624,B14
L00625,L00625,B15
L00626,L00626,B16
L00627,L00627,B17
L00631,L00631,B18
L00196,L00196,B1I
L00197,L00197,B1J
L00737,L00737,B20
L00738,L00738,B21
L00198,L00198,B5K
L00199,L00199,BI6
L00780,L00199,BI6
L00781,L00199,BI6
L00200,L00200,BIF
L00782,L00200,BIF
L00201,L00201,BLF
L00202,L00202,BMB
L00783,L00202,BMB
L00784,L00202,BMB
L00203,L00203,BP4
L00204,L00204,BYA
L00205,L00205,C3K
L00785,L00205,C3K
L00786,L00205,C3K
L00206,L00206,C3T
L00787,L00206,C3T
L00788,L00206,C3T
L00207,L00207,C5P
L00208,L00208,CCS
L00209,L00209,CO9
L00789,L00209,CO9
L00210,L00210,CRO
L00211,L00211,CSU
L00212,L00212,D38
L00213,L00213,D5M
L00214,L00214,D8N
L00215,L00215,D97
L00790,L00215,D97
L00648,L00010,DCP
L00649,L00010,DCP
L00650,L00010,DCP
L00651,L00010,DCP
L00652,L00010,DCP
L00035,L00035,DG8
L00713,L00035,DG8
L00018,L00018,DGT
L00679,L00018,DGT
L00680,L00018,DGT
L00681,L00018,DGT
L00216,L00216,DHC
L00217,L00217,DIZ
L00218,L00218,DTD
L00019,L00019,DTP
L00682,L00019,DTP
L00683,L00019,DTP
L00684,L00019,DTP
L00219,L00219,DUR
L00220,L00220,DV2
L00221,L00221,DV5
L00222,L00222,DV8
L00223,L00223,DYW
L00224,L00224,E03
L00036,L00036,EDA
L00714,L00036,EDA
L00003,L00003,EF2
L00564,L00003,EF2
L00565,L00003,EF2
L00566,L00003,EF2
L00567,L00003,EF2
L00568,L00003,EF2
L00569,L00003,EF2
L00570,L00003,EF2
L00571,L00003,EF2
L00572,L00003,EF2
L00573,L00003,EF2
L00574,L00003,EF2
L00575,L00003,EF2
L00576,L00003,EF2
L00577,L00003,EF2
L00578,L00003,EF2
L00579,L00003,EF2
L00580,L00003,EF2
L00581,L00003,EF2
L00582,L00003,EF2
L00583,L00003,EF2
L00584,L00003,EF2
L00585,L00003,EF2
L00586,L00003,EF2
L00022,L00022,EF6
L00689,L00022,EF6
L00690,L00022,EF6
L00226,L00226,EFG
L00227,L00227,EQ7
L00228,L00228,EXE
L00229,L00229,EXH
L00230,L00230,EYH
L00231,L00231,F06
L00232,L00232,F41
L00233,L00233,F4E
L00037,L00037,F4K
L00715,L00037,F4K
L00234,L00234,F4U
L00235,L00235,F5N
L00237,L00237,F7B
L00238,L00238,F91
L00239,L00239,FA0
L00240,L00240,FB2
L00241,L00241,FL5
L00242,L00242,FLK
L00243,L00243,FNR
L00244,L00244,FRU
L00245,L00245,FUE
L00791,L00245,FUE
L00246,L00246,FUK
L00792,L00246,FUK
L00038,L00038,FUU
L00716,L00038,FUU
L00247,L00247,GCP
L00023,L00023,GFD
L00691,L00023,GFD
L00692,L00023,GFD
L00693,L00023,GFD
L00248,L00248,GLO
L00249,L00249,GQJ
L00250,L00250,GTJ
L00251,L00251,GX4
L00252,L00252,GX8
L00253,L00253,H04
L00254,L00254,H28
L00255,L00255,HIA
L00256,L00256,HPP
L00039,L00039,HRE
L00717,L00039,HRE
L00257,L00257,HRG
L00258,L00258,HRH
L00259,L00259,HRQ
L00260,L00260,HRT
L00261,L00261,HTZ
L00262,L00262,HU8
L00263,L00263,HUE
L00264,L00264,HXA
L00793,L00264,HXA
L00265,L00265,I09
L00266,L00266,I18
L00794,L00266,I18
L00267,L00267,I29
L00268,L00268,I31
L00269,L00269,IAC
L00270,L00270,IMI
L00272,L00272,IMZ
L00795,L00272,IMZ
L00273,L00273,IQK
L00274,L00274,IUN
L00796,L00274,IUN
L00797,L00274,IUN
L00275,L00275,IXV
L00276,L00276,IXY
L00040,L00040,IZS
L00718,L00040,IZS
L00277,L00277,J4Q
L00278,L00278,J6H
L00279,L00279,J6K
L00280,L00280,J6N
L00798,L00280,J6N
L00281,L00281,J6Q
L00282,L00282,J8H
L00283,L00283,JFM
L00284,L00284,JFP
L00285,L00285,JFS
L00286,L00286,JGP
L00041,L00041,JH9
L00719,L00041,JH9
L00287,L00287,JHR
L00288,L00288,JI0
L00289,L00289,JI9
L00290,L00290,JIH
L00291,L00291,JMM
L00292,L00292,JNW
L00293,L00293,JO2
L00294,L00294,JO5
L00295,L00295,JO8
L00296,L00296,JOB
L00297,L00297,JOE
L00298,L00298,JOH
L00299,L00299,JOK
L00300,L00300,JON
L00301,L00301,JOQ
L00302,L00302,JOT
L00303,L00303,JOW
L00304,L00304,JP5
L00305,L00305,JP8
L00306,L00306,JPB
L00307,L00307,JPQ
L00308,L00308,JPW
L00309,L00309,K0G
L00310,L00310,K1G
L00799,L00310,K1G
L00311,L00311,K1P
L00312,L00312,K23
L00313,L00313,K2M
L00314,L00314,K67
L00315,L00315,K6U
L00316,L00316,L5F
L00317,L00317,L6I
L00318,L00318,L8B
L00319,L00319,LAY
L00320,L00320,LHR
L00321,L00321,LKU
L00322,L00322,LL0
L00323,L00323,LQ8
L00042,L00042,LQH
L00720,L00042,LQH
L00721,L00042,LQH
L00722,L00042,LQH
L00723,L00042,LQH
L00324,L00324,LQK
L00325,L00325,LQP
L00326,L00326,LTZ
L00327,L00327,LV4
L00011,L00011,LVY
L00653,L00011,LVY
L00654,L00011,LVY
L00655,L00011,LVY
L00656,L00011,LVY
L00657,L00011,LVY
L00328,L00328,LWD
L00043,L00043,LWK
L00724,L00043,LWK
L00329,L00329,M0L
L00330,L00330,M0N
L00331,L00331,M3S
L00332,L00332,M9E
L00333,L00333,M9H
L00044,L00044,MBY
L00725,L00044,MBY
L00334,L00334,MI6
L00045,L00045,MIQ
L00726,L00045,MIQ
L00046,L00046,MPO
L00727,L00046,MPO
L00335,L00335,MW6
L00336,L00336,N6O
L00337,L00337,N8F
L00338,L00338,NFU
L00339,L00339,NTV
L00340,L00340,NUA
L00341,L00341,NUM
L00008,L00008,NUT
L00632,L00008,NUT
L00633,L00008,NUT
L00634,L00008,NUT
L00635,L00008,NUT
L00636,L00008,NUT
L00637,L00008,NUT
L00638,L00008,NUT
L00639,L00008,NUT
L00640,L00008,NUT
L00342,L00342,NUY
L00343,L00343,NZ1
L00344,L00344,NZJ
L00345,L00345,O1J
L00346,L00346,O1M
L00347,L00347,O3D
L00047,L00047,O6M
L00728,L00047,O6M
L00348,L00348,O9E
L00349,L00349,P07
L00350,L00350,P6G
L00351,L00351,P7M
L00024,L00024,PGE
L00694,L00024,PGE
L00695,L00024,PGE
L00696,L00024,PGE
L00013,L00013,PHN
L00663,L00013,PHN
L00664,L00013,PHN
L00665,L00013,PHN
L00666,L00013,PHN
L00353,L00353,PKG
L00025,L00025,PM3
L00697,L00025,PM3
L00698,L00025,PM3
L00354,L00354,PMZ
L00355,L00355,PRF
L00356,L00356,Q49
L00357,L00357,Q4L
L00358,L00358,Q5J
L00359,L00359,Q5V
L00048,L00048,Q5Y
L00729,L00048,Q5Y
L00360,L00360,Q9E
L00361,L00361,QD0
L00362,L00362,QE0
L00363,L00363,QE9
L00364,L00364,QF3
L00365,L00365,QF7
L00012,L00012,QFC
L00658,L00012,QFC
L00659,L00012,QFC
L00660,L00012,QFC
L00661,L00012,QFC
L00662,L00012,QFC
L00366,L00366,QFF
L00367,L00367,QFR
L00368,L00368,QGZ
L00369,L00369,QH2
L00370,L00370,QH5
L00371,L00371,QH8
L00372,L00372,QHH
L00373,L00373,QHK
L00374,L00374,QHN
L00375,L00375,QHQ
L00376,L00376,QHT
L00377,L00377,QHW
L00378,L00378,QHZ
L00379,L00379,QJ5
L00380,L00380,RAC
L00051,L00051,RN9
L00730,L00051,RN9
L00381,L00381,ROL
L00382,L00382,RV4
L00383,L00383,RWS
L00384,L00384,RXS
L00385,L00385,RZJ
L00800,L00385,RZJ
L00386,L00386,S0V
L00801,L00386,S0V
L00387,L00387,S0W
L00388,L00388,S3B
L00389,L00389,S7B
L00390,L00390,S7G
L00391,L00391,S9S
L00392,L00392,SFY
L00393,L00393,SGO
L00394,L00394,SIU
L00052,L00052,SMK
L00731,L00052,SMK
L00732,L00052,SMK
L00733,L00052,SMK
L00734,L00052,SMK
L00735,L00052,SMK
L00395,L00395,SXJ
L00396,L00396,T6I
L00397,L00397,T6J
L00398,L00398,T9Q
L00399,L00399,TG0
L00400,L00400,THC
L00401,L00401,TJ2
L00402,L00402,TMG
L00403,L00403,TR0
L00404,L00404,TU6
L00405,L00405,TUW
L00406,L00406,TUZ
L00407,L00407,TV5
L00408,L00408,TV9
L00409,L00409,TVH
L00410,L00410,TVK
L00411,L00411,TX6
L00412,L00412,U0S
L00053,L00053,U1E
L00736,L00053,U1E
L00413,L00413,U1H
L00414,L00414,U2R
L00415,L00415,U3I
L00416,L00416,U3Z
L00417,L00417,U78
L00418,L00418,UA2
L00419,L00419,UB2
L00420,L00420,UB3
L00421,L00421,UCK
L00422,L00422,UDP
L00423,L00423,UUM
L00424,L00424,UUP
L00425,L00425,UVA
L00426,L00426,UWS
L00427,L00427,UXA
L00428,L00428,UXD
L00429,L00429,UXG
L00430,L00430,V4M
L00431,L00431,V6F
L00432,L00432,V7J
L00433,L00433,VBK
L00434,L00434,VBQ
L00435,L00435,VBT
L00436,L00436,VBW
L00437,L00437,VCB
L00438,L00438,VCN
L00439,L00439,VCQ
L00440,L00440,VCT
L00441,L00441,VFO
L00442,L00442,VH3
L00443,L00443,VL6
L00444,L00444,VLS
L00445,L00445,VLW
L00446,L00446,VM3
L00802,L00446,VM3
L00447,L00447,VM8
L00803,L00447,VM8
L00448,L00448,VMR
L00449,L00449,VMZ
L00804,L00449,VMZ
L00450,L00450,VN5
L00451,L00451,VP9
L00452,L00452,VW4
L00453,L00453,VWV
L00454,L00454,VYQ
L00455,L00455,VZV
L00456,L00456,VZY
L00457,L00457,W0Y
L00458,L00458,W0Z
L00459,L00459,W1A
L00460,L00460,W1B
L00461,L00461,W1F
L00462,L00462,W1T
L00463,L00463,W1X
L00464,L00464,W26
L00465,L00465,W2F
L00466,L00466,WBN
L00467,L00467,WGM
L00468,L00468,WHP
L00469,L00469,WJA
L00470,L00470,WKG
L00471,L00471,WKS
L00472,L00472,WNY
L00473,L00473,WW8
L00805,L00473,WW8
L00474,L00474,X1J
L00056,L00056,X22
L00739,L00056,X22
L00740,L00056,X22
L00741,L00056,X22
L00742,L00056,X22
L00743,L00056,X22
L00475,L00475,X23
L00806,L00475,X23
L00807,L00475,X23
L00476,L00476,X6C
L00477,L00477,XJI
L00478,L00478,XMS
L00479,L00479,XXT
L00480,L00480,XYP
L00481,L00481,XYY
L00482,L00482,Y30
L00006,L00006,Y70
L00613,L00006,Y70
L00614,L00006,Y70
L00615,L00006,Y70
L00616,L00006,Y70
L00617,L00006,Y70
L00618,L00006,Y70
L00619,L00006,Y70
L00620,L00006,Y70
L00621,L00006,Y70
L00622,L00006,Y70
L00483,L00483,YIN
L00484,L00484,YK3
L00485,L00485,YOT
L00486,L00486,YQO
L00487,L00487,ZQA
L00808,L00487,ZQA
L00488,L00488,ZTD
L00489,L00489,ZTQ
L00490,L00490,ZUN
