Ligase,Scaffold_ID,Recruiter_Count
TRIM21,TRIM21_SCAF_44,1
TRIM21,TRIM21_SCAF_45,1
TRIM21,TRIM21_SCAF_46,1
TRIM21,TRIM21_SCAF_47,1
TRIM21,TRIM21_SCAF_48,1
TRIM21,TRIM21_SCAF_49,1
TRIM21,TRIM21_SCAF_5,1
TRIM21,TRIM21_SCAF_50,1
TRIM21,TRIM21_SCAF_51,1
TRIM21,TRIM21_SCAF_52,1
TRIM21,TRIM21_SCAF_53,1
TRIM21,TRIM21_SCAF_54,1
TRIM21,TRIM21_SCAF_55,1
TRIM21,TRIM21_SCAF_56,1
TRIM21,TRIM21_SCAF_6,1
TRIM21,TRIM21_SCAF_7,1
TRIM21,TRIM21_SCAF_8,1
TRIM21,TRIM21_SCAF_9,1
VHL,VHL_SCAF_1,1
VHL,VHL_SCAF_10,1
VHL,VHL_SCAF_11,1
VHL,VHL_SCAF_12,8
VHL,VHL_SCAF_13,1
VHL,VHL_SCAF_14,1
VHL,VHL_SCAF_15,2
VHL,VHL_SCAF_16,1
VHL,VHL_SCAF_17,1
VHL,VHL_SCAF_18,1
VHL,VHL_SCAF_19,1
VHL,VHL_SCAF_2,1
VHL,VHL_SCAF_20,1
VHL,VHL_SCAF_21,3
VHL,VHL_SCAF_22,1
VHL,VHL_SCAF_23,1
VHL,VHL_SCAF_24,1
VHL,VHL_SCAF_25,1
VHL,VHL_SCAF_26,1
VHL,VHL_SCAF_27,1
VHL,VHL_SCAF_28,1
VHL,VHL_SCAF_29,1
VHL,VHL_SCAF_3,3
VHL,VHL_SCAF_30,1
VHL,VHL_SCAF_31,1
VHL,VHL_SCAF_4,1
VHL,VHL_SCAF_5,1
VHL,VHL_SCAF_6,1
VHL,VHL_SCAF_7,3
VHL,VHL_SCAF_8,1
VHL,VHL_SCAF_9,11
XIAP,XIAP_SCAF_1,1
XIAP,XIAP_SCAF_10,1
XIAP,XIAP_SCAF_11,1
XIAP,XIAP_SCAF_12,1
XIAP,XIAP_SCAF_13,1
XIAP,XIAP_SCAF_14,1
XIAP,XIAP_SCAF_15,1
XIAP,XIAP_SCAF_16,1
XIAP,XIAP_SCAF_17,1
XIAP,XIAP_SCAF_18,1
XIAP,XIAP_SCAF_19,1
XIAP,XIAP_SCAF_2,1
XIAP,XIAP_SCAF_20,2
XIAP,XIAP_SCAF_21,1
XIAP,XIAP_SCAF_22,2
XIAP,XIAP_SCAF_23,1
XIAP,XIAP_SCAF_24,1
XIAP,XIAP_SCAF_25,1
XIAP,XIAP_SCAF_26,1
XIAP,XIAP_SCAF_27,2
XIAP,XIAP_SCAF_28,1
XIAP,XIAP_SCAF_29,1
XIAP,XIAP_SCAF_3,1
XIAP,XIAP_SCAF_30,1
XIAP,XIAP_SCAF_31,1
XIAP,XIAP_SCAF_32,1
XIAP,XIAP_SCAF_33,1
XIAP,XIAP_SCAF_4,1
XIAP,XIAP_SCAF_5,3
XIAP,XIAP_SCAF_6,1
XIAP,XIAP_SCAF_7,1
XIAP,XIAP_SCAF_8,1
XIAP,XIAP_SCAF_9,1
cIAP1,cIAP1_SCAF_1,1
cIAP1,cIAP1_SCAF_10,1
cIAP1,cIAP1_SCAF_11,3
cIAP1,cIAP1_SCAF_12,1
cIAP1,cIAP1_SCAF_13,1
cIAP1,cIAP1_SCAF_14,1
cIAP1,cIAP1_SCAF_15,1
cIAP1,cIAP1_SCAF_16,1
cIAP1,cIAP1_SCAF_17,1
cIAP1,cIAP1_SCAF_18,1
cIAP1,cIAP1_SCAF_19,1
cIAP1,cIAP1_SCAF_2,1
cIAP1,cIAP1_SCAF_20,1
cIAP1,cIAP1_SCAF_21,1
cIAP1,cIAP1_SCAF_22,1
cIAP1,cIAP1_SCAF_23,2
cIAP1,cIAP1_SCAF_24,1
cIAP1,cIAP1_SCAF_25,2
cIAP1,cIAP1_SCAF_26,1
cIAP1,cIAP1_SCAF_27,1
cIAP1,cIAP1_SCAF_28,1
cIAP1,cIAP1_SCAF_29,1
cIAP1,cIAP1_SCAF_3,1
cIAP1,cIAP1_SCAF_30,2
cIAP1,cIAP1_SCAF_31,1
cIAP1,cIAP1_SCAF_32,1
cIAP1,cIAP1_SCAF_33,1
cIAP1,cIAP1_SCAF_34,1
cIAP1,cIAP1_SCAF_35,1
cIAP1,cIAP1_SCAF_36,1
cIAP1,cIAP1_SCAF_4,1
cIAP1,cIAP1_SCAF_5,3
cIAP1,cIAP1_SCAF_6,1
cIAP1,cIAP1_SCAF_7,1
cIAP1,cIAP1_SCAF_8,1
cIAP1,cIAP1_SCAF_9,1
cIAP2,cIAP2_SCAF_1,1
cIAP2,cIAP2_SCAF_10,1
cIAP2,cIAP2_SCAF_11,1
cIAP2,cIAP2_SCAF_12,1
cIAP2,cIAP2_SCAF_13,1
cIAP2,cIAP2_SCAF_14,1
cIAP2,cIAP2_SCAF_2,3
cIAP2,cIAP2_SCAF_3,1
cIAP2,cIAP2_SCAF_4,1
cIAP2,cIAP2_SCAF_5,1
cIAP2,cIAP2_SCAF_6,1
cIAP2,cIAP2_SCAF_7,3
cIAP2,cIAP2_SCAF_8,1
cIAP2,cIAP2_SCAF_9,1
