MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,RECRUITER_CODE,SMILES,PAINS_Hits,Brenk_Hits
440.8870000000003,2.7311199999999998,107.61000000000001,4,3,4,4,2,0.2727272727272727,31,1,0,0.6350734188155892,1100.9136420879574,-3.39,20.86553364929436,8.389650844714014,4.3871202040651385,0,0,2,2,1,9,114.53460000000007,,True,True,True,True,True,L00032,Cc1ccc(cc1Cl)NC(=O)NCc2ccc3c(c2)CN(C3=O)[C@H]4CCC(=O)NC4=O,None,phthalimide
192.284,0.04549999999999993,75.35,4,4,7,0,0,0.8571428571428571,12,1,0,0.26101452357583504,132.57478342250621,-0.26,11.74,7.392409241690343,6.450201165867344,0,0,0,0,0,5,51.317900000000016,,True,True,True,False,False,L00033,C(CCNCS)C[C@@H](C(=O)O)N,None,Aliphatic_long_chain; het-C-het_not_in_ring; thiol_2
353.05400000000003,-1.0668000000000002,170.45999999999998,6,5,8,1,1,0.2222222222222222,22,0,0,0.28834601779074276,688.0825009873375,-1.2650649350649354,18.783162850402842,7.332895336403316,7.136593456389306,0,0,0,1,0,13,75.12970000000001,,True,False,False,False,False,L00034,B(CNS(=O)(=O)Cc1cccc(c1)C(=O)O)(O)OP(=O)(O)O,None,heavy_metal; phosphor
562.4790000000002,3.1005000000000025,197.84,10,6,6,7,6,0.19230769230769232,40,3,0,0.1287946777937931,2020.2751135205967,-4.1,24.90676118272281,8.961332421725752,4.074356901668995,0,0,1,6,1,14,148.51969999999994,,False,False,False,False,False,L00035,c1cc2ccc3ccc(c4c3c2c(c1)cc4)Nc5nc6c(n5[C@H]7C[C@@H]([C@H](O7)COP(=O)(O)O)O)N=C(NC6=O)N,None,phosphor; Polycyclic_aromatic_hydrocarbon_3
355.247,-0.16330000000000028,144.23,9,3,4,4,3,0.4166666666666667,24,3,0,0.543451603537269,934.4590472826998,-1.8800000000000001,15.63628869325328,5.586659139096945,2.7076650435944214,0,0,1,3,1,12,78.80790000000002,,True,False,False,True,True,L00036,c1cn2cnc3c(c2n1)ncn3[C@H]4C[C@@H]([C@H](O4)COP(=O)(O)O)O,None,phosphor
173.21499999999997,1.9696000000000002,25.16,2,1,2,2,2,0.09090909090909091,13,0,0,0.7375486920418045,361.49861930081585,-1.54,8.076289944837928,3.4550496730540114,1.6255973227461487,0,0,0,2,0,2,51.69180000000003,,True,True,True,False,False,L00037,c1ccn(c1)c2ccc(cc2)CO,None,None
358.3100000000001,2.1147,139.72,7,3,7,3,3,0.125,26,0,0,0.5832601369559589,889.7992432133586,-3.8200000000000003,17.01769988116422,7.834576331413834,4.598312714734913,0,0,0,3,0,10,87.4312,,True,True,False,True,True,L00038,c1cc(cc(c1)OCC(=O)O)CNC(=O)Nc2nnc(o2)c3ccco3,None,None
545.0030000000003,3.8234800000000027,133.02999999999997,9,1,6,5,4,0.25925925925925924,39,1,0,0.38705808034515515,1684.8356556202427,-4.6899999999999995,25.93854908585193,9.885364798367878,4.283638285669407,0,0,1,4,0,12,146.0041999999998,,True,True,False,False,True,L00039,CC(C)c1c2c(nn1c3cnc(nc3OC)N(C)C)C(=O)N([C@H]2c4ccc(cc4)C#N)C5=CC(=CNC5=O)Cl,None,None
251.32999999999996,1.6006999999999998,55.32000000000001,5,0,6,1,1,0.6153846153846154,18,0,0,0.7187661566212672,384.9728719441331,-1.65,14.411162079510705,6.934520290244559,3.9797748678267575,0,0,0,1,0,5,70.69100000000005,,True,True,True,False,True,L00040,CCc1cc(nc(n1)N(C)CC(=O)OCC)CC,None,None
544.4910000000002,3.7512000000000025,124.96000000000001,4,4,12,3,3,0.18518518518518517,38,1,0,0.2034263272925541,1326.3994170928054,-3.849999999999999,28.717138995540708,13.096468755285326,9.225664162050142,0,0,0,3,0,11,137.00050000000002,,True,False,True,False,True,L00041,C=CCc1cc(ccc1F)CNC(=O)[C@H](Cc2ccc(cc2)OP(=O)(O)O)NC(=O)Cc3ccc(cc3)F,None,isolated_alkene; phosphor
