SMILES,RECRUITER_CODE
CC[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCOc5c4cccc5)NC,L00093
CC[C@@H](C(=O)N[C@H]1C=CCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)N=C,L00199
CC[C@@H](C(=O)N[C@H]1[C@H](CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)CCN)N,L00052
CC[C@@H](C(=O)N[C@H]1[C@H](CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)CCNCc5ccccc5)NC,L00202
CC[C@@H](C(=O)N[C@H]1[C@H](CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)CN)N,L00475
CC[C@@H](C(=O)N[C@H]1[C@H](CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)CO)N,L00056
CC[C@@H](C(=O)N[C@H]1[C@H](CC[C@H]2CC[C@H](N2C1=O)C(=O)NCc3ccc(cc3)C(C)(C)C)CO)NC,L00206
CC[C@@H](C(=O)OC(C)(C)C)N1[C@@H]([C@H](C[C@@H](C1=O)CC(=O)O)c2cccc(c2)Cl)c3ccc(cc3)Cl,L00062
CC[C@@H](C)Oc1cc2c(cc1OC)CC(=O)N([C@H]2c3ccc(cc3)Cl)c4ccc(cc4)N(C)Cc5ccncc5,L00131
CC[C@@H](CO)N1[C@@H]([C@@H](O[C@H](C1=O)CC(=O)O)c2cccc(c2)Cl)c3ccc(cc3)Cl,L00078
CC[C@@H](CO)N1[C@@H]([C@H](C[C@@H](C1=O)CC(=O)O)c2cccc(c2)Cl)c3ccc(cc3)Cl,L00064
CC[C@@H](CS(=O)(=O)C(C)(C)C)N1[C@@H]([C@H](C[C@](C1=O)(C)CC(=O)O)c2cccc(c2)Cl)c3ccc(cc3)Cl,L00097
CC[C@@H](CS(=O)(=O)C(C)(C)C)N1[C@@H]([C@H](O[C@@H](C1=O)CC(=O)O)c2cccc(c2)Cl)c3ccc(cc3)Cl,L00099
CC[C@@H](CS(=O)(=O)C(C)(C)C)N1[C@@H]([C@H](O[C@H](C1=O)CC(=O)O)c2cccc(c2)Cl)c3ccc(cc3)Cl,L00104
CC[C@@H]([C@H](C)O)N1[C@@H]([C@H](C[C@](C1=O)(C)CC(=O)O)c2cccc(c2)Cl)c3ccc(cc3)Cl,L00063
CC[C@@H](c1cccc(n1)C2CC2)N3[C@@H]([C@H](C[C@](C3=O)(C)CC(=O)O)c4cccc(c4)Cl)c5ccc(cc5)Cl,L00106
CC[C@@H]1CC[C@H](N1C(=O)C2=C(N3[C@@H]([C@](N=C3S2)(C)c4ccc(cc4)Cl)c5ccc(cc5)Cl)C(C)C)C(=O)N6CCN([C@@H](C6)C)C(=O)C,L00326
CC[C@@]1(CCC(=O)NC1=O)c2ccc(cc2)N,L00187
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O,L00264
CCc1cc(ccc1F)CNC(=O)[C@H](Cc2ccc(cc2)OP(=O)(O)O)NC(=O)Cc3ccc(cc3)F,L00288
CCc1cc(nc(n1)N(C)CC(=O)OCC)CC,L00040
CCc1csc(n1)c2cnc[nH]2,L00487
CCn1c-2c(nn1)-c3ccc(cc3-c4c(nnn4CC)-c5c2cc(cc5)N(C)C)[N+](C)(C)C,L00241
CCn1c-2c(nn1)-c3ccccc3-c4c(nnn4CC)-c5c2cccc5,L00349
CCn1c2ccc(c(c2nn1)C)[C@@H](CC(=O)O)c3cc(c4c(c3)CN(CC4)C(=O)c5ccccc5)C,L00058
CCn1c2ccc(c(c2nn1)C)[C@@H](CC(=O)O)c3ccc4c(c3)CN(CC4)C(=O)c5ccccc5,L00353
CCn1cc(cn1)NC(=O)C2CCC2,L00340
CN(C)C(=O)c1cccc(c1)c2cccc(c2)n3c(c(cn3)C(=O)O)C4CC4,L00146
CN(C)C(=O)c1cccc(c1)c2cccc(n2)n3c(c(cn3)C(=O)O)C(F)(F)F,L00151
CN(C)C(=O)c1cccc2c1-c3ccccc3C2=O,L00440
CN(C)C(=O)c1ccccc1NC(=O)OCc2ccc(cc2)C(=O)O,L00380
CN(C)CCCN(C)[C@H]1CCN(C1)C(=O)c2c(c3ccc(cc3[nH]2)Cl)c4c(ncn4Cc5ccc(cc5CO)Cl)c6ccccc6,L00261
CN(C)c1cccc2c1c(ccc2)N(C)C,L00053
CN1C(=O)C(=C([C@]1(Cc2ccc(cc2)Cl)O)c3c[nH]c4c3ccc(c4)Cl)Cc5ccc(cc5)Cl,L00127
CN1CCCc2c1cc(cc2)S(=O)(=O)N,L00385
CN1CCN(CC1)c2ccc3c(c2)C=C(N4C3=NCC4)C5(CC5)c6ccc(cc6)OC,L00445
CN1CCN(CC1)c2ccc3c(c2)nc(nc3NCCN)C4(CC4)c5ccc(cc5)OC,L00450
CN1CC[C@@H](C1=O)Oc2cccc(c2)F,L00356
CN1[C@@H]([C@@H](O[C@H](C1=O)Cc2ccccc2)c3ccc(cc3)Br)c4ccc(cc4)Br,L00074
CN1[C@@H]([C@@H](O[C@H](C1=O)Cc2ccccc2)c3ccc(cc3)Cl)c4ccc(cc4)Cl,L00075
CNC(=O)CCC(=O)N1CCC[C@H]1C(=O)N[C@@H]2COC(=O)c3ccccc3CSC[C@@H](NC2=O)C(=O)N(C)C,L00170
CNC(=O)c1ccc(cc1)S(=O)(=O)N,L00457
CNCC(=O)NCc1ccc(cc1)CNC(=O)CNC,L00332
CNCC(=O)NCc1cccc(c1)CNC(=O)CNC,L00333
CNCc1ccc(o1)Oc2cccnc2,L00236
CNc1ccccc1S(=O)(=O)C,L00425
COC(=O)N1CCN(CC1)c2ccc(cc2)F,L00357
COC(=O)[C@@H]1C[C@H](CN1C(=O)c2ccco2)O,L00249
COC(=O)c1cc2c([nH]1)cco2,L00233
COCC(=O)NCc1ccccc1,L00398
COc1c(c(cc(c1F)C(=O)N[C@H]2CCC(=O)NC2=O)F)N,L00458
COc1c2c(nc(n1)N)n(cn2)[C@H]3C[C@@H]([C@H](O3)COP(=O)(O)O)O,L00154
COc1cc(ccc1C(=O)N[C@H]2CCC(=O)NC2=O)N,L00461
COc1cc2c(cc1O)cc([nH]2)C(=O)N3C[C@H]4C[C@@]45C3=CC(=O)c6c5cc([nH]6)C(=O)N7CCc8c7c(c(c9c8cc([nH]9)C(=O)SC)OC)O,L00168
COc1ccc(c2c1C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O)N,L00451
COc1ccc(cc1)S(=O)(=O)N(CC(=O)N)c2ccc(c3c2cccc3)N(CC(=O)N)S(=O)(=O)c4ccc(cc4)N,L00023
COc1ccc(cc1)S(=O)(=O)N(CC(=O)N)c2ccc(c3c2cccc3)N(CC(=O)N)S(=O)(=O)c4ccc(cc4)OC,L00120
COc1ccc(cc1)S(=O)(=O)N(CC(=O)O)c2c3ccccc3c(cn2)N(CC(F)(F)F)S(=O)(=O)c4ccc(cc4)OC,L00359
COc1ccc(cc1)S(=O)(=O)N(CC(=O)O)c2ccc(c(c2)OCc3ccccc3)N(CC(=O)O)S(=O)(=O)c4ccc(cc4)OC,L00252
COc1ccc(cc1)S(=O)(=O)Nc2ccc(c3c2cccc3)N(CC(=O)O)S(=O)(=O)c4ccc(cc4)OC,L00048
COc1ccc(cc1)S(=O)(=O)Nc2ccc(c3c2cccc3)NS(=O)(=O)c4ccc(cc4)OC,L00273
COc1ccc(cc1)[C@H]2CCC(=O)NC2=O,L00182
COc1ccc(cc1OC2CCCC2)[C@H]3CC(=O)NC3,L00381
COc1ccc2c(c1)nc(s2)N,L00343
COc1cccc(c1)S(=O)(=O)N(CC(=O)O)c2cccc(c2)n3c(c(cn3)C(=O)O)C4CC4,L00375
COc1cccc(c1)S(=O)(=O)N(CC(=O)O)c2cccc(c2)n3c(c(cn3)C(=O)O)[C@H]4C[C@@H]4c5ccccc5,L00378
COc1ccccc1c2nnco2,L00315
CS(=O)(=O)Cc1[nH]c2ccccc2n1,L00397
CS(=O)(=O)NCC1CCNCC1,L00459
CS(=O)(=O)NCCc1ccc(cc1)F,L00391
CS(=O)(=O)NCCc1ccccc1,L00283
CS(=O)(=O)c1nccn1Cc2cscn2,L00277
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N)[NH3+],L00133
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NCC(c2ccccc2)c3ccccc3)N,L00108
