SMILES,RECRUITER_CODE
C[C@@H]1CN([C@H](C[NH2+]1)CN2CCOC[C@H]2C)CC(=O)N3CC(c4c3cc(cn4)Cc5ccc(cc5)F)(C)C,L00031
C[C@@H]1CN([C@H](C[NH2+]1)COC)CC(=O)N2CC(c3c2cc(cn3)Cc4ccccc4)(C)C,L00165
C[C@@H]1CN([C@H](C[NH2+]1)COC)CC(=O)N2CC(c3c2cc(nc3)Cc4ccccc4)(C)C,L00141
C[C@@H]1CN([C@H](C[NH2+]1)COC)CC(=O)N2CC(c3c2cc(nc3)Cl)(C)C,L00140
C[C@@H]1C[C@H]2[C@H]([C@@H]([C@]3([C@H]1[C@H](C[C@@H]3O)OC(=O)C)C)OC(=O)C)C(=C)C(=O)O2,L00479
C[C@@]1(C(=O)N([C@@H]([C@H](O1)c2cccc(c2)Cl)c3ccc(cc3)Cl)[C@H](CS(=O)(=O)C(C)(C)C)C4CC4)Cc5ccc(cn5)C(=O)O,L00101
C[C@@]1(C[C@@H]([C@H](N(C1=O)[C@H](CS(=O)(=O)C(C)(C)C)C2CC2)c3ccc(c(c3)F)Cl)c4cccc(c4)Cl)Cc5ncc(s5)CC(=O)O,L00100
C[C@@]1(C[C@@H]([C@H](N(C1=O)[C@H](CS(=O)(=O)C(C)(C)C)C2CC2)c3ccc(cc3)Cl)c4cccc(c4)Cl)Cc5ccc(cn5)C(=O)O,L00102
C[C@@]1(C[C@@H]([C@H](N(C1=O)[C@H](CS(=O)(=O)N2CCCC2)C3CC3)c4ccc(cc4)Cl)c5cccc(c5)Cl)CC(=O)O,L00107
C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(CC(=C(C5(C)C)O)C#N)C)C)(C)C)C(=O)O,L00395
C[C@H](C1CC1)Nc2c3c(nc(n3Cc4ccc(cc4)Cl)c5ccc6c(c5)ccs6)nc(n2)C(=O)O,L00070
C[C@H](CS(=O)(=O)N)c1ccccc1,L00452
C[C@H]([C@@H](C(=O)O)NC(=O)C)O,L00400
C[C@H]([C@@H](C1=N/C(=C\c2ccc(cc2)O)/C(=O)N1CC(=O)O)N)O,L00210
C[C@H](c1ccccc1Cl)NS(=O)(=O)C,L00468
C[C@H]1CCN([C@@H]1C(=O)Nc2ccccc2c3ncccn3)C(=O)[C@H](C4CCCCC4)NC(=O)[C@H](C)NC,L00184
C[C@H]1[C@@H]2CCc3c(n(nc3[C@]2(CC(=C1O)C#N)C)C)c4cccnc4,L00145
C[C@]1(C(=O)N([C@@H]([C@H](O1)c2cccc(c2)Cl)c3ccc(cc3)Cl)[C@H](CS(=O)(=O)C(C)(C)C)C4CC4)Cc5ccc(cn5)C(=O)O,L00103
C[N@@](CCCN(C)C)[C@H]1CCN(C1)C(=O)c2c(c3ccc(cc3[nH]2)Cl)c4c(ncn4Cc5ccc(cc5)Cl)c6ccccc6,L00473
Cc1c(ccc2c1[nH]cc2/C=C\3/C(=O)N(C(=O)N3)Cc4ccc(c(c4)F)F)Cl,L00026
Cc1c(cccc1Cl)NC(=O)[C@@H]2CCCO2,L00339
Cc1c(cccc1N)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)c4c(ncs4)C)O,L00399
Cc1c(ocn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)CC(C)(C)C)O,L00113
Cc1c(scn1)c2cc(c(cc2F)[C@H](C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O)OC,L00442
Cc1c(scn1)c2cc3c(cc2F)[C@H](CCC3)NC(=O)[C@@H]4C[C@H](CN4C(=O)[C@H](C(C)(C)C)NC(=O)C5(CC5)F)O,L00441
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)CC(C)(C)C)O,L00117
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H]4C[C@H](CN4C(=O)C)O)O,L00115
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C)O,L00021
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)C#N)O,L00159
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)C(=O)C)O,L00179
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,L00142
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)NC(=O)C)O,L00178
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4CC4)O,L00181
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4CCC4)O,L00177
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4COC4)O,L00176
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CO)O,L00180
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C(C)(C)C)NC(=O)C)O,L00112
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C)O,L00111
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](Cc4ccccc4)NC(=O)C)O,L00114
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C)NC(=O)C)O,L00175
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3C[C@H](CN3C(=S)[C@H](C)NC(=O)C)O,L00221
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3[C@@H]([C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C)O)F,L00228
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@@H]3[C@H]([C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C)O)F,L00229
Cc1c(scn1)c2ccc(cc2)CNC(=O)[C@H]3C[C@H](CN(C3=O)c4ccccn4)O,L00466
Cc1c(scn1)c2ccc(cc2)CNC(=S)[C@@H]3C[C@H](CN3C(=O)[C@H](C)NC(=O)C)O,L00220
Cc1c(scn1)c2ccc(cc2)CNC(=S)[C@@H]3C[C@H](CN3C(=S)[C@H](C)NC(=O)C)O,L00222
Cc1c(scn1)c2ccc(cc2)[C@H](C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](c4cc(no4)OCCOCCOC)C(C)C)O,L00443
Cc1c(scn1)c2ccc(cc2)[C@H](CC(=O)NC)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,L00365
Cc1cc(c(c(c1C)S(=O)(=O)N(CC(=O)O)c2cccc(c2)n3c(c(cn3)C(=O)O)C4CC4)C)C,L00377
Cc1cc(c(c(c1C)S(=O)(=O)Nc2ccc(c3c2cccc3)N4CC[C@@H](C4)C(=O)O)C)C,L00144
Cc1cc(c(c(c1C)S(=O)(=O)Nc2cccc(c2)n3c(c(cn3)C(=O)O)C4CC4)C)C,L00376
Cc1cc(c2cc(ccc2n1)F)O,L00436
Cc1cc(ccc1C(=O)N[C@H]2CCC(=O)NC2=O)N,L00464
Cc1cc(ccc1Cl)[C@H](CC(=O)O)c2ccc3c(c2)nnn3C,L00281
Cc1cc(ccc1F)CNC(=O)[C@H](Cc2ccc(cc2)OP(=O)(O)O)NC(=O)Cc3ccc(cc3)F,L00289
Cc1cc(ccc1[C@H](C)NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@H](C(C)(C)C)NC(=O)C3(CC3)F)O)c4c(ncs4)C,L00454
Cc1cc(ccc1[C@H]2c3c([nH]nc3C(C)C)C(=O)N2c4cccc(c4F)Cl)Cl,L00258
Cc1cc(ccc1[C@H]2c3c(nn(c3C(C)C)c4ccccc4OC)C(=O)N2c5cc(ccc5OCCN(C)C)Cl)Cl,L00160
Cc1cc(ccc1c2cncs2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)CC(C)(C)C)O,L00118
Cc1cc(nc(n1)C)N2CCNCC2,L00471
Cc1cc(nc(n1)CO)N2CCCCC2,L00404
Cc1cc(no1)C(=O)Nc2cnn(c2)C,L00423
Cc1cc(no1)CS(=O)(=O)NC,L00469
Cc1cc(on1)CC(=O)N2C[C@@H](C[C@H]2C(=O)NC)O,L00361
Cc1cc(on1)CC(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)C(=O)OC)O,L00488
Cc1cc(on1)CC(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)N(O)O)O,L00490
Cc1cc(on1)CC(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)c4ccccc4)O,L00403
Cc1cc(on1)CC(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)c4cnco4)O,L00318
Cc1cc(on1)CN2C(=O)C=CC(=N2)C,L00426
Cc1cc(on1)[C@@H](C(C)C)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3OCCOC)c4c(ncs4)C)O,L00363
Cc1cc(on1)[C@@H](C(C)C)C(=O)N2C[C@@H](C[C@H]2C(=O)NOc3ccc(cc3)c4c(ncs4)C)O,L00366
Cc1cc(on1)[C@@H](C(C)C)C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@H](C)c3ccc(cc3OCCOC)Cl)O,L00362
Cc1cc(on1)[C@@H](C(C)C)C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@H](C)c3ccc(cc3OCCOC)c4c(ncs4)C)O,L00364
Cc1cc(on1)[C@@H](C(C)C)C(=O)N2C[C@@H](C[C@H]2C3=NO[C@](N3)(C)c4ccc(cc4)c5c(ncs5)C)O,L00367
Cc1cc2c(cc1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,L00243
Cc1ccc(c(c1)C)S(=O)(=O)C2=CN=C(NC2=O)SCC(=O)Nc3ccccc3C(F)(F)F,L00125
Cc1ccc(c2c1c(c[nH]2)C#N)NS(=O)(=O)c3ccc(cc3)CN,L00358
Cc1ccc(c2c1c(c[nH]2)C#N)NS(=O)(=O)c3cccc(c3)C#N,L00047
Cc1ccc(cc1)N2CC[C@@H](C2)NC(=O)c3c[nH]c4c3cccc4OC,L00259
Cc1ccc(cc1)[C@H](CC(=O)O)NC(=O)Cc2ccc3c(c2)CCCC3,L00393
Cc1ccc(cc1)[C@H]([C@@H](C)C(=O)O)NC(=O)Cc2ccc3c(c2)CCCC3,L00394
Cc1ccc(cc1)[C@H]([C@@H](C)C(=O)O)NC(=O)[C@H](c2ccc3c(c2)CCCC3)F,L00396
Cc1ccc(cc1CN(C)S(=O)(=O)c2ccccc2)[C@H](CC(=O)O)c3cc4c(c(c3)OC)n(nn4)C,L00279
Cc1ccc(cc1CN2CCOc3ccccc3S2(=O)=O)[C@H](CC(=O)O)c4cc5c(c(c4)OC)n(nn5)C,L00282
Cc1ccc(cc1CN2C[C@H](Oc3ccccc3S2(=O)=O)C)[C@H](CC(=O)O)c4cc5c(c(c4)OC)n(nn5)C,L00317
Cc1ccc(cc1Cl)NC(=O)CCc2cccc(c2)NC3=CC(=O)N(C3=O)[C@H]4CCC(=O)NC4=O,L00051
Cc1ccc(cc1Cl)NC(=O)NCc2ccc3c(c2)CN(C3=O)[C@H]4CCC(=O)NC4=O,L00032
Cc1ccc(cc1N2[C@H](c3c(nc(n3C(C)C)c4cnc(nc4OC)OC)C2=O)c5ccc(cc5C)Cl)Cl,L00230
Cc1ccc(cc1O)NC(=O)c2cccc(c2)F,L00321
Cc1ccc2cc1[C@H]([N@@]3Cc4cc(ccc4OS3(=O)=O)OCCOCCn5c6ccc(c(c6nn5)C)[C@H]2CC(=O)O)C,L00316
Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,L00344
Cc1cccc(c1)C(=O)NCC(=O)O,L00456
Cc1cccc(c1)c2nc(c(n2c3cc(ccc3C)Cl)c4cccc(c4)Cl)C(=O)O,L00105
Cc1cccc(c1OC(=O)C)C(=O)O,L00331
Cc1cccc(c1OC(=O)C2CC2)C(=O)O,L00389
Cc1cccc2c1CCN([C@@H]2CN3Cc4ccccc4C3=O)C(=O)[C@@H]5CCCC[C@@H]5C(=O)O,L00085
Cc1ccccc1CCNC(=O)C,L00417
Cc1cnn(c1)C[C@H]2C[NH2+][C@@H](CN2CC(=O)N3CC(c4c3cc(nc4)Cc5ccccc5)(C)C)C,L00164
Cc1nc(sn1)N2CCCNCC2,L00311
Cc1nc2c(c(n1)OC)CC[C@@H]3[C@@]2(CC(=C([C@H]3C)O)C#N)C,L00411
Cc1nc2c(o1)C=C(OC2=O)C,L00161
Cc1nccn1Cc2cccc(c2)C#N,L00384
Cc1nnc(s1)N2CCCCC2,L00383
Cn1c2ccc(cc2nn1)[C@@H](CC(=O)O)c3ccc(c(c3)CN(C)S(=O)(=O)C)Cl,L00481
Cn1c2ccc(cc2nn1)[C@@H](CC(=O)O)c3ccc(c(c3)CN(C)S(=O)(=O)c4ccccc4)Cl,L00061
Cn1c2ccc(cc2nn1)[C@@H](CC(=O)O)c3ccc(cc3)Cl,L00478
Cn1c2ccc(cc2nn1)[C@H](CC(=O)O)c3ccc(cc3)Cl,L00280
Cn1cc(nn1)[C@@H]2C[C@H]2c3c(cnn3c4cccc(c4)c5cccc(c5)C(=O)N(C)C)C(=O)O,L00152
[B-]1(O[C@@H]2[C@H](CO[C@@]2(O1)C)O)(O)O,L00001
[H]/N=C(\N)/SCc1ccccc1Cl,L00231
[H]/N=C(\NCCC[C@@H](C(=O)N(Cc1ccccc1)Cc2ccccc2)NC(=O)C[N-][N+]#N)/NC(=O)NC,L00007
[H]/N=C\1/C[C@@H](CN1)c2cccc(c2)Oc3ccc(cc3)Cl,L00448
c1c([nH]cn1)C[C@@H](C(=O)N)N,L00255
c1c(c(nc(c1F)Cl)Cl)C(=O)O,L00435
c1c(c2c([nH]1)N=C(NC2=O)N)CN,L00355
c1c(c2c([nH]1)c(ncn2)N)CN3C[C@@H]([C@@H]([C@H]3CO)O)O,L00191
c1c(c2c([nH]1)c(ncn2)N)[C@H]3[C@@H]([C@@H]([C@H](N3)CO)O)O,L00418
c1c(c2c(s1)c(ncn2)O)CN3C[C@@H]([C@@H]([C@H]3CO)O)O,L00044
c1c(cc(c(c1Cl)C(=O)N[C@H]2CC(=O)NC2=O)Cl)Cl,L00306
c1c(cn(n1)C2CC[NH2+]CC2)Br,L00132
c1c(cn[nH]1)C(=O)N2CCCC2,L00428
c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2,L00002
c1c(nnn1CCCO)CO,L00119
c1c(nns1)C(=O)N2CCOCC2,L00386
c1c2c([nH]n1)NC(=S)N=C2N,L00086
c1cc(c(c(c1)Cl)F)[C@H]2[C@H]3[C@H](C=NC3=O)N([C@]24c5ccc(cc5NC4=O)Cl)CC6CC6,L00254
c1cc(c(c(c1)Cl)F)[C@H]2[C@H]3[C@H](C[C@@H](N3)c4ccc(cc4)C(=O)O)N([C@]25c6ccc(cc6NC5=O)Cl)CC7CC7,L00158
c1cc(c(c(c1)N)C(=O)N[C@H]2CC(=O)NC2=O)C(=O)O,L00295
c1cc(c(c(c1)O)O)C(=O)N[C@H]2COC(=O)[C@H](COC(=O)[C@H](COC2=O)NC(=O)c3cccc(c3O)O)NC(=O)c4cccc(c4O)O,L00225
c1cc(c(c(c1)[N+](=O)[O-])C(=O)O)C(=O)N[C@H]2CC(=O)NC2=O,L00297
c1cc(c(cc1Cl)Cl)C(=O)NS(=O)(=O)c2ccc(s2)Br,L00351
c1cc(c(cc1Cl)Cl)C2=NO[C@]3(C2)CCC(=O)NC3=O,L00486
c1cc(c(cc1F)N)C(=O)O,L00239
c1cc(c(cc1N)C(F)(F)F)C(=O)N[C@H]2CCC(=O)NC2=O,L00463
c1cc(c(cc1N)Cl)C(=O)N[C@H]2CCC(=O)NC2=O,L00465
c1cc(c(cc1N)F)C(=O)N[C@H]2CCC(=O)NC2=O,L00462
c1cc(c(cc1N)O)C(=O)N[C@H]2CCC(=O)NC2=O,L00460
c1cc(c(cc1[C@H](CC(=O)N)NC(=O)c2c[nH]nc2c3ccc(cc3F)Cl)Cl)F,L00477
c1cc(c(cc1[N+](=O)[O-])C(=O)N[C@H]2CC(=O)NC2=O)C(=O)O,L00293
c1cc(c(cc1\C=C\C(=O)O)O)O,L00216
c1cc(cc(c1)Cl)[C@H]2C[C@@H](C(=O)N([C@@H]2c3ccc(cc3)Cl)CC4CC4)CC(=O)O,L00066
c1cc(cc(c1)Cl)[C@H]2[C@H]3[C@H](CCN3CC(=O)O)N([C@]24c5ccc(cc5NC4=O)Cl)CC6CC6,L00155
c1cc(cc(c1)F)N2CCC[C@H](C2)Nc3cc(ncn3)N4CCOCC4,L00196
c1cc(cc(c1)NC(=O)CCl)CNC(=O)[C@H](Cc2ccc(cc2)OP(=O)(O)O)NC(=O)Cc3ccc(cc3)F,L00290
c1cc(cc(c1)OCC(=O)O)CNC(=O)Nc2nnc(o2)c3ccco3,L00038
c1cc(cc(c1)SC[C@H]2CCC(=O)NC2=O)N,L00335
c1cc(ccc1C(C(=O)NCc2ccc3c(c2)CN(C3=O)[C@H]4CCC(=O)NC4=O)(F)F)Cl,L00430
c1cc(ccc1CC2=C([C@](OC2=O)(Cc3ccc(cc3)Cl)O)c4c[nH]c5c4ccc(c5)Cl)Cl,L00128
c1cc(ccc1CCC(=O)O)Cl,L00387
c1cc(ccc1CCC(=O)O)O,L00256
c1cc(ccc1CN)C(F)(F)F,L00413
c1cc(ccc1CN)COC(=O)N[C@H]2CC(=O)NC2=O,L00301
c1cc(ccc1CNC(=O)CCC(=O)O)COC(=O)N[C@H]2CC(=O)NC2=O,L00303
c1cc(ccc1COC[C@@H]2[C@H]([C@H]([C@@H](O2)n3c4c(c(ncn4)N)nc3NCc5ccc(c(c5)Cl)Cl)O)O)C#N,L00109
c1cc(ccc1C[C@@H](C(=O)NCc2ccc(cc2)F)NC(=O)Cc3ccc(cc3)F)OP(=O)(O)O,L00287
c1cc(ccc1C[C@@H](C(=O)O)N)CP(=O)(O)O,L00025
c1cc(ccc1C[C@@H](C(=O)O)N)I,L00352
c1cc(ccc1C[C@@H](C(=O)O)N)OCCN=[N+]=N,L00126
c1cc(ccc1Cn2cnc(c2c3c4ccc(cc4[nH]c3C(=O)OCCCCCCNC(=O)CCC(=O)O)Cl)c5ccc(cc5)F)Cl,L00030
c1cc(ccc1N2CCN(CC2)C(=O)C3CC3)F,L00251
c1cc(ccc1N2CCN(CC2)C(=O)N)F,L00346
c1cc(ccc1OCC(=O)O)F,L00414
c1cc(ccc1[C@H](CC(=O)O)C2=CC(=O)NC=C2)Cl,L00278
c1cc(ccc1[C@H]2C(=O)Nc3ccc(cc3C(=O)N2[C@@H](c4ccc(cc4)Cl)C(=O)O)I)Cl,L00217
c1cc(ccc1n2cc(nn2)CO)Cl,L00197
c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,L00291
c1cc(oc1)C(=O)N2CCN(CC2)C(=O)N,L00313
c1cc(oc1)CN2CCS(=O)(=O)CC2,L00347
c1cc2c(c(c1)Cl)[C@@](N(C2=O)Cc3ccc(cc3)[N+](=O)[O-])(c4ccc(cc4)Cl)OCC5(CC5)CO,L00409
c1cc2c(c(c1)N)C(=O)N(C2=O)[C@H]3CC(=O)NC3=O,L00294
c1cc2c(c(c1)N)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,L00006
c1cc2c(c(c1)N)CN(C2=O)[C@H]3CCC(=O)NC3=O,L00011
c1cc2c(c(c1)OCc3ccc(cc3)CN4CCN(CC4)c5ccc(cc5F)C#N)CN(C2=O)[C@H]6CCC(=O)NC6=O,L00012
c1cc2c(c(c1)OCc3ccc(cc3)CN4CCOCC4)CN(C2=O)[C@H]5CCC(=O)NC5=O,L00016
c1cc2c(c(c1)[N+](=O)[O-])C(=O)N(C2=O)[C@H]3CC(=O)NC3=O,L00298
c1cc2c(c[nH]c2c(c1)NS(=O)(=O)c3ccc(cc3)S(=O)(=O)N)Cl,L00022
c1cc2c(cc1C(=O)N3CCCCCC3)OCO2,L00286
c1cc2c(cc1C(=O)NC3CC3)OCO2,L00427
c1cc2c(cc1Cl)C(=O)CCS2,L00237
c1cc2c(cc1Cl)[nH]cc2C[C@@H](C(=O)O)N,L00014
c1cc2c(cc1F)[nH]cc2C[C@H](C(=O)O)N,L00224
c1cc2c(cc1N)C(=O)N(C2=O)[C@H]3CC(=O)NC3=O,L00296
c1cc2c(cc1N3CCOCC3)C(=O)N(C2=O)[C@H]4CCC(=O)NC4=O,L00045
c1cc2c(cc1NC(=O)CN3CCCCC3)OCO2,L00232
c1cc2c(cc1NCc3ccncc3)OCCO2,L00238
c1cc2c(cc1O)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,L00234
c1cc2ccc3ccc(c4c3c2c(c1)cc4)Nc5nc6c(n5[C@H]7C[C@@H]([C@H](O7)COP(=O)(O)O)O)N=C(NC6=O)N,L00035
c1cc2ccc3cccnc3c2nc1,L00013
c1ccc(c(c1)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)Cl)O)Cl,L00421
c1ccc(c(c1)C(=O)N[C@H]2CCC(=O)NC2=O)C(=O)O,L00292
c1ccc(c(c1)NC(=S)N)OC(F)(F)F,L00327
c1ccc(c(c1)OC(F)F)S(=O)(=O)N,L00322
c1ccc(c(c1)c2c(c[nH]n2)C(=O)N[C@@H](CC(=O)N)c3cccc(c3)Cl)F,L00336
c1ccc(cc1)C(=O)NCCC(=O)O,L00204
c1ccc(cc1)C(=O)Nc2ccc3c(c2)cccn3,L00328
c1ccc(cc1)C(c2ccccc2)N3CC(C3)O,L00429
c1ccc(cc1)CC(=O)N[C@H]2CC(=O)NC2=O,L00302
c1ccc(cc1)CCC(=O)N[C@H]2CC(=O)NC2=O,L00299
c1ccc(cc1)CN2CCC(CC2)c3ccc4c(c3)CN(C4=O)[C@H]5CCC(=O)NC5=O,L00043
c1ccc(cc1)CNC(=O)c2c(csc2NC(=O)CCNc3ccccc3)c4ccccc4,L00275
c1ccc(cc1)CNC(=O)c2c3c(sc2NC(=O)CNCCc4c[nH]c5c4cccc5)CCCC3,L00276
c1ccc(cc1)COC(=O)N[C@H]2CC(=O)NC2=O,L00304
c1ccc(cc1)COCC(=O)O,L00345
c1ccc(cc1)NC(=O)Cc2cn3ccccc3n2,L00235
c1ccc(cc1)NC(=O)Nc2cccnc2,L00309
c1ccc(cc1)OCC(=O)NC2CCCCC2,L00195
c1ccc(cc1)S(=O)(=O)C[C@H]2CCC(=O)NC2=O,L00337
c1ccc(cc1)S(=O)(=O)N,L00240
c1ccc(cc1)S(=O)(=O)N(CC(=O)O)c2cccc(c2)n3c(c(cn3)C(=O)O)C4CC4,L00373
c1ccc(cc1)S(=O)(=O)Nc2cccc(c2)n3c(c(cn3)C(=O)O)C4CC4,L00368
c1ccc(cc1)S(=O)(=O)Nc2cccc(c2)n3c(c(cn3)c4n[nH]nn4)C5CC5,L00370
c1ccc(cc1)[C@@](C2CCCC2)(C(=O)O)O,L00439
c1ccc(cc1)[C@H](C(=O)O)NC(=O)c2cccc3c2-c4ccccc4C3=O,L00437
c1ccc(cc1)[C@H]2C[C@@H]2c3c(cnn3c4cccc(c4)N(CC(=O)O)S(=O)(=O)c5ccccc5)C(=O)O,L00369
c1ccc(cc1)c2c(n(cn2)Cc3ccc(cc3)Cl)c4c5ccc(cc5[nH]c4C(=O)NCCN6CCOCC6)Cl,L00201
c1ccc(cc1)c2c(n(cn2)Cc3ccc(cc3)Cl)c4c5ccc(cc5[nH]c4C(=O)O)Cl,L00312
c1ccc(cc1)c2ccc(cc2)CC(=O)O,L00203
c1ccc(cc1)c2ccc(cc2)C[C@@H](C(=O)O)N,L00200
c1ccc(cc1)n2c(c(cn2)C(=O)O)C3CC3,L00374
c1ccc2c(c1)-c3c(cccc3C(=O)NCC(=O)O)C2=O,L00434
c1ccc2c(c1)C(=O)C=C(O2)C(=O)O,L00192
c1ccc2c(c1)C(=O)N(C2=O)C[C@@H]3c4cccc(c4CCN3C(=O)[C@@H]5CCCC[C@@H]5C(=O)O)OCCO,L00323
c1ccc2c(c1)C(=O)N(C2=O)C[C@@H]3c4cccc(c4CCN3C(=O)[C@@H]5CC[C@@H]5C(=O)N)OCCO,L00324
c1ccc2c(c1)C(=O)N(C2=O)[C@@H]3CCC(=O)NC3=O,L00153
c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,L00003
c1ccc2c(c1)C3=C([C@@H](N4C(=N3)NC=N4)c5ccc(cc5)Br)[C@H](O2)c6ccc(cc6)Br,L00483
c1ccc2c(c1)C=C(N3C2=NCC3)c4ccccc4F,L00042
c1ccc2c(c1)CCN([C@@H]2CN3C(=O)c4ccccc4C3=O)C(=O)[C@@H]5CCCC[C@@H]5C(=O)O,L00083
c1ccc2c(c1)CCN([C@@H]2CN3C(=O)c4ccccc4C3=O)C(=O)[C@@H]5CCCC[C@@H]5c6[nH]nnn6,L00084
c1ccc2c(c1)CCN([C@@H]2CN3C(=O)c4ccccc4C3=O)C(=O)[C@@H]5CCCC[C@H]5C(=O)O,L00065
c1ccc2c(c1)CCN([C@@H]2CN3Cc4ccccc4C3=O)C(=O)[C@@H]5CCCC[C@@H]5C(=O)O,L00095
c1ccc2c(c1)[nH]c(n2)c3cscn3,L00402
c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCCCN[C@@H]4CCCC5=C4C=CC(=O)N5,L00017
c1ccc2c(c1)c(c[nH]2)CC(=O)O,L00269
c1ccc2c(c1)c(no2)Nc3ccc4c(c3)CN(C4=O)[C@H]5CCC(=O)NC5=O,L00485
c1ccc2c(c1)cc(cn2)CN[C@@H]3[C@H]4CO[C@H](O4)[C@@H]([C@H]3O)N5CCOCC5,L00215
c1ccc2c(c1)cc(n3c2ncc3)C4(CC4)c5ccc(cc5)Cl,L00446
c1ccc2c(c1)ncn2c3ccc(cc3)CO,L00285
c1ccc2c(c1)nn(n2)[C@H]3CCC(=O)NC3=O,L00167
c1ccn(c1)c2ccc(cc2)CO,L00037
c1ccn2c(c1)ncc2CC(O)(P(=O)(O)O)P(=O)(O)O,L00330
c1ccnc(c1)C(=O)NCCc2ccc(cc2)O,L00341
c1ccnc(c1)NCC(P(=O)(O)O)P(=O)(O)O,L00068
c1ccnc(c1)NS(=O)(=O)c2ccc(cc2)N,L00392
c1cn(cn1)[Re+]([C-]#[O+])([C-]#[O+])([C-]#[O+])n2ccnc2,L00055
c1cn(nn1)C2=CNN(C2=O)c3cc(ncn3)N4CCOCC4,L00004
c1cn-2c(n1)NC(=O)c3c2n(cn3)[C@H]4[C@H]([C@@H]([C@H](O4)COP(=O)(O)O)O)F,L00226
