Ligase,Scaffold_ID,Recruiter_Count,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
HUWE1,HUWE1_SCAF_3,1,C1CCOC1,C1CCOC1,Monocyclic_Hetero,2.083803215450294e-15,3.3989904907754794e-15,-1.389913825059571e-15,1,30,0.03333333333333333,3.060287092608695,0.9629437561394745
HUWE1,HUWE1_SCAF_4,1,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,Polycyclic_Hetero,1.2434497875801754e-16,-1.874056465567264e-15,-0.08647451539195554,1,30,0.03333333333333333,3.060287092608695,0.9629437561394745
HUWE1,HUWE1_SCAF_5,4,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn([C@H]3CCCO3)c2n1,Polycyclic_Hetero,-6.591024022858012e-14,3.141237270298802e-14,-9.60898027813073e-14,1,30,0.13333333333333333,3.060287092608695,0.9629437561394745
HUWE1,HUWE1_SCAF_6,1,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,Bicyclic_Hetero,6.371714750022637e-16,1.1584935909132068e-15,-1.1391853643979866e-15,1,30,0.03333333333333333,3.060287092608695,0.9629437561394745
HUWE1,HUWE1_SCAF_7,1,O=c1[nH]cnc2c1[nH]c(=O)n2[C@H]1CCCO1,O=c1[nH]cnc2c1[nH]c(=O)n2[C@H]1CCCO1,Polycyclic_Hetero,7.173748774501012e-16,1.6909550682752383e-15,0.015641578810097825,1,30,0.03333333333333333,3.060287092608695,0.9629437561394745
HUWE1,HUWE1_SCAF_8,1,O=C(CNCCc1c[nH]c2ccccc12)Nc1sc2c(c1C(=O)NCc1ccccc1)CCCC2,O=C(CNCCc1c[nH]c2ccccc12)Nc1sc2c(c1C(=O)NCc1ccccc1)CCCC2,Polycyclic_Hetero,1.1047573112731558e-14,2.504663143554353e-14,-0.02493010854808095,1,30,0.03333333333333333,3.060287092608695,0.9629437561394745
HUWE1,HUWE1_SCAF_9,1,O=C(CCNc1ccccc1)Nc1scc(-c2ccccc2)c1C(=O)NCc1ccccc1,O=C(CCNc1ccccc1)Nc1scc(-c2ccccc2)c1C(=O)NCc1ccccc1,Polycyclic_Hetero,2.469671976502374e-14,-6.1177117012103456e-15,-0.11584604701283188,1,30,0.03333333333333333,3.060287092608695,0.9629437561394745
KEAP1,KEAP1_SCAF_1,1,O=C(NCc1ccccc1)Nc1nnc(-c2ccco2)o1,O=C(NCc1ccccc1)Nc1nnc(-c2ccco2)o1,Polycyclic_Hetero,-1.268211125341512e-13,8.523821379364535e-14,-0.000887227386795845,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_10,1,C1=CC[C@@H]2CCc3c(n[nH]c3-c3cccnc3)C2C1,C1=CC[C@@H]2CCc3c(n[nH]c3-c3cccnc3)C2C1,Polycyclic_Hetero,-7.913817749264732e-12,-3.7786267941757816e-11,0.021858975637943857,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_11,4,c1ccccc1,c1ccccc1,Monocyclic,6.291263806209221e-16,6.291263806209221e-16,-5.169475958410885e-16,1,87,0.04597701149425287,3.832309551498157,0.9520434103481434
